Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
9.426074749054598294e-04 2.617242407491790837e-03 1.165040944723594318e-02 -3.776262645552648234e+00 -1.531187139537203423e+00 -1.912184798898332927e+00 5.445221904077255370e-01 2.926826150019039687e+03 2.785043943068751250e+05 9.000000000000000000e+01
5.579605963485854969e-02 1.328117431986139685e-01 3.119189923233294665e-02 6.506197402837837096e+00 2.337803587431489305e+00 -3.420536308961510397e-01 -2.946880660137600305e+00 2.016912221856200631e+03 2.785148202175734914e+05 3.277300000000000000e+04
6.559407902140163005e-02 -2.086389558699639282e-02 2.137955849280474274e-01 4.539099929038220793e+00 2.093061100709639355e+00 1.160009017180918311e+00 3.217802508480442913e-01 2.981247465799566271e+03 2.784995966780259041e+05 9.200000000000000000e+01
2.902569616126811705e-03 7.302086622234247367e-04 2.119334855587195685e-02 3.007537533998402290e-01 2.061220509942847945e-01 -8.137079871998604830e-01 -3.380170725933877018e-01 3.017990103877165438e+03 2.785019209086277988e+05 2.852600000000000000e+04
-8.762989012771619374e-03 1.520337603231238476e-02 -7.589874772882589668e-04 -3.156594189416211726e+00 -7.029188775037154002e-01 -8.908956761893170873e-01 2.163403994702508826e-01 3.041241019346703069e+03 2.785987014097882202e+05 6.159300000000000000e+04
6.157576862189965364e-04 -4.071300829127463133e-02 -2.427236962466997050e-02 -9.761340170252842396e-01 -5.589025327251342379e-01 -6.789494029228693162e-01 -5.004925742856738413e-01 2.897088643031161155e+03 2.784950792276094435e+05 2.938800000000000000e+04
7.550430384117704993e-03 6.058268879839184481e-03 3.869703468439117389e-02 -3.428414710650298236e-01 -1.857957638632591335e-01 2.674564200602855268e-01 -3.211210747191908244e-01 2.993604329012485323e+03 2.785028353173725773e+05 5.525100000000000000e+04
1.711154121657307162e-03 -1.416652918944284398e-03 6.737200582511542954e-03 3.422524722974030986e+00 9.991336340093096569e-01 1.882980279329248496e+00 -4.152735696723499625e-01 2.995342028266120906e+03 2.784977289841357269e+05 4.491200000000000000e+04
-8.473356399774435374e-03 -4.706363790383570958e-03 2.975859899125315317e-02 -2.035547319208310668e+00 -1.130605510655940060e+00 1.029250746539909889e+00 -3.371992639583737961e-01 2.931419498073076738e+03 2.785046404573629261e+05 4.491100000000000000e+04
-1.700208397119805717e-02 -5.266544501615774698e-02 1.354406748389510029e-01 2.580027867321189383e+00 1.268322806273600944e+00 1.453560905493537669e+00 5.044252843338227210e-01 2.874405210586591238e+03 2.785055784402788850e+05 9.900000000000000000e+01
-2.264658995410970786e-03 1.834129781638445256e-02 6.517275744499631540e-02 -2.472090390948140648e+00 -6.439843265761393543e-01 1.031567138094319214e+00 7.071970960418086927e-01 2.887932715253225069e+03 2.785049616664964124e+05 6.159100000000000000e+04
2.917810321394645554e-04 1.916371243137706033e-04 1.712232361564601339e-03 -6.360555202827564147e-02 -5.990581092686831921e-01 -3.628609603926698512e-01 -4.146903943966165351e-01 3.025080505837919645e+03 2.785010775607295800e+05 6.446600000000000000e+04
-9.667714986049841600e-03 1.718636169113647860e-02 3.230146180245791615e-02 -5.170488979111050876e-01 -3.484568659290280257e-01 9.046654292156484090e-01 -1.267555788407493500e+00 2.904823850263451277e+03 2.784952173829775420e+05 2.671500000000000000e+04
-1.834151671091978700e-02 5.793163318009181099e-03 7.861783499372060335e-02 -1.104952921252368103e+00 -4.122035539231657109e-01 4.626397100887534308e-01 3.623243396365833369e-01 3.028652732982412090e+03 2.785012107667339151e+05 1.030000000000000000e+02
