x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
-2.633693173868175563e+01 -1.595869171875654802e+00 2.347537008217231769e+00 -4.389673042777379464e-01 3.191048004303904017e+05 2.881960795633409361e+03 1.180000000000000000e+02
1.392196508930892662e+01 9.275344073846802928e-01 -4.805342651953215416e+00 1.020752470051657257e+00 3.191022085711261607e+05 2.889018341563400554e+03 2.616000000000000000e+04
-1.139219469188960687e+01 -6.239777365378952334e-01 5.698987721978658882e+00 -9.965621970464104695e-01 3.191022810349668725e+05 2.880668115273975218e+03 4.335500000000000000e+04
-4.814818981547936083e+00 -1.752237877133269173e-01 8.174091770892752962e+00 -2.158802940126213876e+00 3.191116056846168940e+05 2.826955650333357426e+03 1.210000000000000000e+02
1.864993318397936140e-01 -4.103666759132151148e-02 3.555551612391839034e-01 -3.866933211220596189e-01 3.191060886108719860e+05 2.890492791963218679e+03 1.220000000000000000e+02
-1.958399525859753254e+01 -7.287216757722292382e-01 3.415925124831477255e+00 -5.816460629550160855e-01 3.191233849378915038e+05 2.876344693836267652e+03 1.230000000000000000e+02
-8.203479636304875200e+00 -4.525638023187394943e-01 -5.655365788425919860e+00 7.711043440442666430e-01 3.191014128460040665e+05 2.896639654262801287e+03 1.240000000000000000e+02
-5.397482305063365793e-01 -2.034811448733786325e-03 3.066786005825817618e+00 -7.576651768398964260e-01 3.191027557519553229e+05 2.877992549106518254e+03 6.814000000000000000e+04
-6.417017124257601068e+00 -2.459497750185832554e-01 3.747364831104904592e+00 -7.237793996220354131e-01 3.191113086997763021e+05 2.826817989445450166e+03 2.406700000000000000e+04
-3.259552394021626220e+00 -8.803093595942201866e-02 -6.921213752889717519e+00 2.054228617967248205e+00 3.191191706631234265e+05 2.876010887177815675e+03 5.816200000000000000e+04
1.285692042219466025e+01 8.262155790762460983e-01 -5.872760897881603270e+00 1.224457412103644671e+00 3.191048497521547833e+05 2.889281611625873666e+03 1.280000000000000000e+02
-2.231549710110837381e+01 -9.846822395315808496e-01 -1.683422532903966706e+00 5.231616203531676002e-01 3.191075544687756919e+05 2.845854361556064759e+03 4.060000000000000000e+04
4.509739226695018921e+00 1.956786210184775499e-01 1.502590771041176998e+00 -6.083716260337370674e-01 3.191178031874879962e+05 2.874547992005455399e+03 1.300000000000000000e+02
-6.543435284384824691e+00 -3.787791000791958518e-01 6.485093647212886836e+00 -1.370868324543496719e+00 3.191034377791869920e+05 2.873023651999181766e+03 7.071300000000000000e+04
4.139104945829138238e+00 2.355915480176928589e-01 1.096839210429116562e+01 -2.514381990005161605e+00 3.191068181447198149e+05 2.873215653972273685e+03 1.320000000000000000e+02
6.230992133474132499e-01 2.196981972729951035e-02 -6.826192138302150880e+00 1.335557698720764908e+00 3.191042082524014986e+05 2.881962221887320993e+03 5.928000000000000000e+04
2.485056322064014367e+01 1.531682776446215311e+00 4.988767761110531218e+00 -9.540720862765685872e-01 3.191035707857724628e+05 2.883277513844157056e+03 6.936300000000000000e+04
-2.381802960160911198e+00 -9.545990661944370181e-02 1.549853307150559134e+00 -4.361489355599036943e-01 3.191050410142390174e+05 2.857173019125918472e+03 3.923900000000000000e+04
-2.222053385742529752e+00 -5.450251247806593702e-02 -2.552648948562999731e+00 1.130627795586305995e+00 3.191349045209917240e+05 2.877883588232591592e+03 4.951400000000000000e+04
-1.136930780232043325e+01 -5.405557116912727000e-01 -5.275939110845183355e-02 3.196410810283322607e-02 3.191050157492505386e+05 2.860464785132678571e+03 2.982200000000000000e+04
1.571831542413680260e+01 6.652244727952968395e-01 -2.253605022197440633e+00 5.487222345110290833e-01 3.191118965058848844e+05 2.827599967389736776e+03 6.605300000000000000e+04
-1.204532888691143633e+01 -5.873310878486091013e-01 9.529428506927825282e+00 -1.959112596198563816e+00 3.191095247155480902e+05 2.836547028522804794e+03 1.390000000000000000e+02
-1.216892208013516719e+00 3.967277850219304985e-02 1.246856436637478360e+00 -2.892166344280078794e-01 3.191019379184255376e+05 2.901849460105476282e+03 3.541000000000000000e+04
1.684403163677897197e+01 1.217699749663475162e+00 8.909439992607945946e-01 1.039151781693858217e-01 3.191071379630766460e+05 2.888765002580313649e+03 4.671700000000000000e+04
-6.872709037522954922e+00 -4.465983358544154957e-01 -1.095429450941553196e+00 8.126386121845353971e-02 3.191091459223368438e+05 2.874035588465460478e+03 6.813600000000000000e+04
4.279582326865987163e+00 6.062720608677010792e-02 2.163673503839086187e+00 -3.922954287197656931e-01 3.191081669190627290e+05 2.880896494961004009e+03 1.430000000000000000e+02
